person_id,section_id,mention_count
pampinea,day01_argument,20
pampinea,d01intro,13
pampinea,d01conclu,6
pampinea,nov0203,1
pampinea,nov0204,2
pampinea,d02conclu,1
pampinea,nov0302,1
pampinea,nov0303,1
pampinea,nov0402,2
pampinea,nov0403,1
pampinea,nov0506,1
pampinea,nov0601,1
pampinea,nov0602,1
pampinea,nov0603,2
pampinea,nov0605,1
pampinea,d06conclu,2
pampinea,nov0706,1
pampinea,nov0707,1
pampinea,nov0807,1
pampinea,nov0808,1
pampinea,nov0809,1
pampinea,nov0907,1
pampinea,nov0909,1
pampinea,nov1007,1
pampinea,nov1008,1
galeno,d01intro,1
galeno,nov0106,1
ippocrate,d01intro,1
ippocrate,nov0809,2
esculapio,d01intro,1
fiammetta,d01intro,3
fiammetta,nov0105,1
fiammetta,nov0106,1
fiammetta,nov0205,1
fiammetta,nov0206,1
fiammetta,nov0306,1
fiammetta,d03conclu,1
fiammetta,d04intro,1
fiammetta,nov0402,2
fiammetta,d04conclu,4
fiammetta,day05_argument,14
fiammetta,d05intro,2
fiammetta,nov0502,2
fiammetta,nov0503,1
fiammetta,nov0504,1
fiammetta,nov0505,1
fiammetta,nov0506,1
fiammetta,nov0507,1
fiammetta,nov0508,1
fiammetta,nov0509,1
fiammetta,nov0510,1
fiammetta,d05conclu,1
fiammetta,nov0606,1
fiammetta,nov0607,1
fiammetta,d06conclu,1
fiammetta,nov0705,1
fiammetta,nov0706,1
fiammetta,d07conclu,1
fiammetta,nov0808,1
fiammetta,nov0905,1
fiammetta,d10intro,1
fiammetta,nov1006,1
fiammetta,nov1007,1
fiammetta,d10conclu,2
filomena,d01intro,5
filomena,nov0103,1
filomena,nov0104,1
filomena,d01conclu,7
filomena,day02_argument,10
filomena,d02intro,1
filomena,nov0203,1
filomena,nov0206,1
filomena,nov0207,1
filomena,nov0208,1
filomena,nov0209,1
filomena,nov0210,2
filomena,d02conclu,1
filomena,nov0303,2
filomena,nov0304,2
filomena,d03conclu,2
filomena,nov0405,1
filomena,nov0406,2
filomena,d04conclu,1
filomena,nov0508,1
filomena,nov0509,1
filomena,d06intro,1
filomena,nov0603,1
filomena,nov0707,1
filomena,nov0708,1
filomena,d07conclu,2
filomena,nov0806,1
filomena,d09intro,1
filomena,nov0902,1
filomena,d10intro,1
filomena,nov1008,1
filomena,nov1009,2
emilia,d01intro,1
emilia,nov0106,1
emilia,nov0107,1
emilia,d01conclu,2
emilia,nov0206,1
emilia,nov0207,1
emilia,d02conclu,1
emilia,nov0307,1
emilia,nov0308,1
emilia,nov0407,1
emilia,nov0408,1
emilia,nov0502,1
emilia,nov0503,1
emilia,d05conclu,1
emilia,nov0608,1
emilia,nov0609,1
emilia,d07intro,1
emilia,nov0703,1
emilia,nov0804,2
emilia,nov0805,1
emilia,d08conclu,4
emilia,day09_argument,14
emilia,d09intro,2
emilia,nov0902,1
emilia,nov0903,1
emilia,nov0904,1
emilia,nov0905,1
emilia,nov0906,1
emilia,nov0907,1
emilia,nov0908,1
emilia,nov0909,1
emilia,nov0910,1
emilia,d09conclu,2
emilia,nov1005,1
