id,name,religion,sex,age,role,estate,origin,status,brigata,relationships
author,Boccaccio,christian,m,,,,Firenze,,,
dioneo,Dioneo,,m,youth,,,Firenze,,yes,
elissa,Elissa,,f,youth,,,Firenze,,yes,
emilia,Emilia,,f,youth,,,Firenze,,yes,
fiammetta,Fiammetta,,f,youth,,,Firenze,,yes,
filomena,Filomena,,f,youth,,,Firenze,,yes,
filostrato,Filostrato,,m,youth,,,Firenze,,yes,
lauretta,Lauretta,,f,youth,,,Firenze,,yes,
neifile,Neifile,,f,youth,,,Firenze,,yes,
pampinea,Pampinea,,f,youth,,,Firenze,,yes,
panfilo,Panfilo,,m,youth,,,Firenze,,yes,
chimera,Chimera,,f,,servant,,,,,
licisca,Licisca,,f,,servant,,,,,
misia,Misia,,f,,servant,,,,,
parmeno,Parmeno,,m,,servant,,,,,
sirisco,Sirisco,,m,,servant,,,,,
stratilia,Stratilia,,f,,servant,,,,,
tindaro,Tindaro,,m,,servant,,,,,
abraam,Abraam / Giovanni,jew,m,adult,merchant,mercantile,Parigi,,,friend of giannottocivigni
adalieta,Adalieta,christian,f,youth,housewife,noble,Pavia,married,,wife of torello
adriano,Adriano,,m,youth,unspecified,unknown,Firenze,unmarried,,friend of pinuccio; lover of donna-0906
agnesa,Agnesa,christian,f,adult,housewife,mercantile,Siena,married,,wife of marito-0703; lover of fraterinaldo
agnesabernabuccio,Angesa di Bernabuccio,christian,f,youth,housewife,unknown,Faenza,unmarried-to-married,,daughter of bernabuccio; sister of giannole; wife of minghino; ward of guidotto giacomino
agilulfo,Agilulfo,,m,adult,king,royalty,Pavia,married,,husband of teodolinda
agnolella,Agnolella,,f,youth,,poor,Roma,unmarried-to-married,,daughter of gigliozzo; wife of pietroboccamazza
agolante,Agolante Agolanti,,m,,merchant,noble,Firenze,married,,son of tebaldo; relative of agolanti; brother of lamberto tedaldo
agolanti,Agolanti,,,,,noble,Firenze,,,family of agolante sandroagolanti alessandro lamberto tebaldo tedaldo
berto,frate Alberto (Berto della Massa),,,adult,outlaw,poor,Imola,unmarried,,
maestroalberto,maestro Alberto da Bologna,,m,elder,doctor,,Bologna,unmarried,,
alatiel,Alatiel,muslim,f,youth,princess,royalty,AlessandriaEg,unmarried-to-married,,daughter of beminedab; lover of pericone principemorea ducaatene costanzio antioco marato; wife of ozbek regarbo
aldobrandino,Aldobrandino Palermini,,m,adult,,noble,Firenze,married,,husband of ermellina; murderer of faziuolo
alessandro,Alessandro Agolanti,christian,m,,moneylender,mercantile,Firenze,unmarried-to-married,,nephew of agolante lamberto tedaldo; relative of agolanti; husband of donna-0203
alessandrochiarmontesi,Alessandro Chiarmontesi,,m,adult,,noble,Firenze,unmarried,,
santoalesso,santo Alesso,christian,m,,,religious,Roma,,,
alessorinucci,Alesso Rinucci,,m,adult,,noble,,,,cousin of nonnapulci
alibech,Alibech,,f,youth,,mercantile,Gafsa,unmarried-to-married,,lover of rustico; wife of neerbale
ambrogiolo,Ambrogiuolo da Piagenza,,m,youth,merchant,mercantile,Piacenza,married,,
ambruogia,Ambruogia,,f,,housewife,mercantile,Milano,married,,wife of guasparruolo; lover of gulfardo
santoambruogio,santo Ambruogio (san Sedoni da Siena),christian,m,,,religious,Siena,,,
ambruogioanselmini,Ambruogio Anselmini,,m,,unspecified,poor,Siena,married,,husband of mitaanselmini; friend of tingocciomini
amerigo,Amerigo Abate da Trapani,,m,adult,cityauthority,noble,Trapani,married,,father of violante
amore,Amore,pagan,m,,,,,,,
andreuccio,Andreuccio di Pietro (da Perugia),,m,youth,merchant,mercantile,Perugia,unmarried,,
andreuola,Andreuola (da Ponte Carraro),,f,youth,,noble,Brescia,unmarried-to-married,,daughter of negropontecarraro; lover of gabriotto
realfonso,Anfonso X re di Spagna,,m,,king,royalty,,,,
ansaldo,Ansaldo Gradense,christian,m,,knight,noble,Friuli,unmarried,,
antigono,Antigono di Famagosta,muslim,m,elder,servant,poor,Famagosta,,,servant of recipro-0207 beminedab
antioco,Antioco,,m,elder,,military,,,,servant of ozbek; lover of alatiel
antonioorso,Antonio d'Orso,christian,m,adult,churchauthority,religious,Firenze,,,
arcita,Arcita,,f,,,,,,,
aristippo,Aristippo (V.1),,m,,,noble,Cipro,,,father of galeso
aristippo1008,Aristippo (X.8),pagan,m,,philosopher,,Atene,,,
arrighettocapece,Arrighetto Capece,,m,adult,lord,noble,Napoli,married,,husband of beritolacaracciola; father of giuffredi loscacciato
santoarrigo,santo Arrigo / Arrigo,christian,m,,,religious,Bolzano,,,
arriguccio,Arriguccio Berlinghieri,christian,m,,merchant,mercantile,Firenze,married,,husband of sismonda
atticiato,Atticciato (Atticiato),,m,,,poor,Firenze,,,
autari,Auttari,,,,king,royalty,longobarda,married,,husband of teodolinda
marcheseazzo,marchese Azzo da Ferrara,,m,adult,cityauthority,noble,Ferrara,,,lover of vedova-0202
baronci,Baronci,,,,family,,Firenze,,,
bartolomea,Bartolomea Gualandi,,f,youth,,noble,Pisa,married,,wife of riccardochinzica paganinomonaco; daughter of lottogualandi
rebasano,Basano,muslim,m,adult,king,royalty,Turkey-AsiaMinor,,,
beatricegalluzzi,Beatrice Galluzzi,christian,f,,,noble,Bologna,married,,wife of eganogalluzzi; lover of lodovico
belcolore,Belcolore,christian,f,adult,housewife,mercantile,Varlungo,married,,wife of bentivegnamazzo; lover of prete-0802
beltramo,Beltramo di Rossiglione,,m,youth-adult,count,noble,Roussillon,unmarried-to-married,,ward of refrancia-0309; husband of giletta; son of isnardo
benedetto,Benedetto Ferondi,,m,child,,mercantile,Tuscany,,,son of donna-0308 abate-0308 ferondo
bentivegnamazzo,Bentivegna del Mazzo,,m,adult,peasant,mercantile,Varlungo,married,,husband of belcolore
beminedab,Beminedab / soldano,muslim,m,adult,sultan,royalty,AlessandriaEg,married,,father of alatiel
bergamina,Bergamina,,f,adult,,,,married,,wife of guasparruolosaliceto
bergamino,Bergamino,,m,adult,courtier,noble,,,,
beritolacaracciola,madama Beritola Caracciola / Cavriuola,,f,adult,,noble,Napoli,married,,wife of arrighettocapece; mother of giuffredi loscacciato
bernabo,Bernabò Lomellin da Genova,,m,adult,merchant,mercantile,Genova,married,,husband of ginevra
bernabuccio,Bernabuccio,,m,adult,,,Faenza,married,,father of giannole agnesabernabuccio
bernardo,Bernardo Puccini,christian,m,adult,artisan,noble,Firenze,married,,father of lisa; husband of madre-1007
santobernardo,san Bernardo,christian,m,,,religious,Clairvaux,,,
bettobrunelleschi,Betto Brunelleschi,,m,adult,cityauthority,mercantile,Firenze,,,
biagiopizzini,Biagio Pizzini,,m,youth,,,Certaldo,,,
biliuzza,Biliuzza,,f,adult,,,Varlungo,,,lover of prete-0802
binguccio,Binguccio dal Poggio,,m,adult,,,Varlungo,,,
biondello,Biondello,,m,adult,,unknown,Firenze,,,
bonaccorri,Bonaccorri da Ginestreto,,m,adult,legalauthority,noble,Firenze,,,
bonifazio,Bonifazio VIII,christian,m,adult,pope,religious,Anagni,unmarried,,
brunetta,Brunetta,,f,,peasant,poor,Tuscany,,,lover of chichibio
bruno,Bruno (di Giovanni d'Olivieri),christian,m,adult,artist,mercantile,Firenze,,,
buffalmacco,Buffalmacco (Bonamico),christian,m,adult,artist,mercantile,Firenze,,,
buglietto,Buglietto,,m,adult,,,Varlungo,,,father of nuto
buttafuoco,Buttafuoco,,m,adult,pander,poor,Napoli,,,
calandrino,Calandrino,christian,m,adult,artist,mercantile,Firenze,married,,husband of tessa
canescala,messer Cane / Cangrande della Scala,,m,adult,lord,noble,Verona,married,,
carapresa,Carapresa,christian,f,adult,servant,poor,Trapani,,,
cmagno,Carlo Magno,christian,m,adult,king,royalty,unknown,,,
recarloi,re Carlo primo d'Angiò,,m,adult,king,royalty,France,,,father of recarloii; grandfather of robertoangio; uncle of carlosenzaterra
recarloii,re Carlo secondo (nostro re Carlo),christian,m,adult,king,royalty,France,,,son of recarloi; father of robertoangio; cousin of carlosenzaterra
carlosenzaterra,Carlo Senzaterra di Valois,,m,adult,prince,royalty,Valois(France),married,,nephew of recarloi; cousin of recarloii
cassandrea,Cassandrea,,f,adult,,noble,Rodi,unmarried-to-married,,wife of lisimaco
catalina,Catalina (Carisendi) Caccianemico,christian,f,,housewife,noble,Bologna,married,,wife of niccoluccio; relative of gentile; mother of figlio-1004
catella,Catella Sighinolfi,,f,adult,housewife,noble,Napoli,married,,wife of filippello; lover of ricciardominutolo
caterina,Caterina da Valbona,,f,youth,,,Romagna,unmarried-to-married,,daughter of lizio giacomina; wife of ricciardomanardi
cavalcantecavalcanti,Cavalcante Cavalcanti,christian,m,,,noble,Firenze,,,father of guidocavalcanti
encararh,segner En Cararh,,m,adult,merchant,mercantile,Catalonia,,,
ceccoangiulieri,Cecco Angiulieri,,m,adult,writer,noble,Siena,,,
ceccofortarrigo,Cecco Fortarrigo,,m,adult,unspecified,noble,Siena,,,
cesca,Cesca da Celafico,,f,youth,maiden,,,,,niece of fresco
chichibio,Chichibio,,m,adult,servant,poor,Venezia,,,lover of brunetta; servant of curradogianfigliazzi
ciacco,Ciacco,,m,adult,,unknown,Firenze,,,
ciappelletto,Ciappelletto/Cepparello,,m,adult,outlaw,,Prato,,,
cinciglione,Cinciglione,,m,adult,,,,,,
cinopistoia,Cino da Pistoia (Guittoncino de' Sinibaldi),,m,adult,writer,noble,Pistoia,,,
fratecipolla,frate Cipolla,christian,m,adult,preacher,religious,,unmarried,,
