place_id,section_id,mention_count
firenze,d01intro,5
firenze,nov0106,1
firenze,nov0201,1
firenze,nov0203,8
firenze,nov0303,1
firenze,nov0306,1
firenze,nov0307,6
firenze,nov0309,4
firenze,d04intro,5
firenze,nov0407,1
firenze,nov0408,1
firenze,nov0509,2
firenze,nov0601,1
firenze,nov0602,2
firenze,nov0603,3
firenze,nov0605,2
firenze,nov0606,3
firenze,nov0609,1
firenze,nov0610,1
firenze,nov0701,3
firenze,nov0706,1
firenze,nov0708,2
firenze,nov0802,3
firenze,nov0803,3
firenze,nov0805,3
firenze,nov0806,3
firenze,nov0807,4
firenze,nov0809,3
firenze,nov0810,2
firenze,nov0901,1
firenze,nov0903,1
firenze,nov0905,5
firenze,nov0906,3
firenze,nov0908,2
firenze,nov1001,1
firenze,nov1006,1
firenze,d10conclu,2
smnovella,d01intro,3
smnovella,nov0701,1
smnovella,nov0809,2
smnovella,d10conclu,1
montagnetta-i01,d01intro,1
palagiobrigata-01,d01intro,1
palagiobrigata-01,d01conclu,1
cortile-i01,d01intro,1
giardino-i01,d01intro,1
francia,nov0101,3
francia,nov0105,3
francia,nov0106,1
francia,nov0207,1
francia,nov0208,3
francia,nov0409,1
francia,nov0508,1
francia,nov0608,1
francia,nov0707,1
francia,nov0809,1
toscana,nov0101,1
toscana,nov0203,1
toscana,nov0305,1
toscana,nov0308,1
toscana,nov0309,1
toscana,nov0509,1
toscana,nov0610,2
toscana,nov1001,3
parigi,nov0101,1
parigi,nov0102,5
parigi,nov0107,3
parigi,nov0203,1
parigi,nov0208,3
parigi,nov0209,4
parigi,nov0304,1
parigi,nov0309,4
parigi,nov0408,4
parigi,nov0707,1
parigi,nov0807,6
parigi,nov0809,1
parigi,nov1009,1
parigi,epilogue,1
borgogna,nov0101,1
roma,nov0102,6
roma,nov0203,3
roma,nov0208,1
roma,nov0503,6
roma,nov0507,2
roma,nov0809,1
roma,nov1002,5
roma,nov1008,15
roma,nov1010,1
nostradama,nov0102,1
cairo,nov0103,1
cairo,nov0207,2
cairo,nov1009,2
alessandriaeg,nov0103,1
alessandriaeg,nov0206,1
alessandriaeg,nov0207,3
alessandriaeg,nov0209,4
alessandriaeg,nov0802,1
alessandriaeg,nov1009,2
lunigiana,nov0104,1
lunigiana,nov0206,3
lunigiana,nov0307,1
monistero-0104,nov0104,1
genova,nov0105,2
genova,nov0108,4
genova,nov0206,3
genova,nov0209,11
genova,nov0303,2
genova,nov0403,1
genova,nov1009,3
santacroce,nov0106,1
italia,nov0107,1
italia,nov0108,1
italia,nov0203,1
italia,nov0204,1
italia,nov0209,1
italia,nov0306,1
italia,nov0610,1
italia,nov1001,1
verona,nov0107,1
verona,nov0202,1
guascogna,nov0109,2
terrasanta,nov0109,1
terrasanta,nov1009,1
cipro,nov0109,1
cipro,nov0204,1
cipro,nov0207,8
cipro,nov0307,3
cipro,nov0501,6
cipro,nov1009,2
bologna,nov0110,1
bologna,nov0202,1
bologna,nov0308,1
bologna,nov0707,6
bologna,nov0809,6
bologna,nov1004,7
bologna,nov1010,5
bologna,epilogue,1
rivo-c01,d01conclu,1
montagnetta-c01,d01conclu,1
valle-c01,d01conclu,1
giardini-i02,d02intro,1
pratello-i02,d02intro,1
treviso,nov0201,4
duomotreviso-0201,nov0201,3
castelguiglielmo,nov0202,10
ferrara,nov0202,1
ferrara,nov0810,1
fiume-0202,nov0202,1
inghilterra,nov0203,9
inghilterra,nov0208,9
inghilterra,nov0707,1
inghilterra,nov0809,1
londra,nov0203,1
londra,nov0208,4
bruges,nov0203,1
scozia,nov0203,3
scozia,nov0208,1
scozia,nov0809,1
cornovaglia,nov0203,1
corfu,nov0204,3
reggio,nov0204,1
gaeta,nov0204,1
salerno,nov0204,1
salerno,nov0401,2
salerno,nov0810,1
amalfi,nov0204,1
amalfi,nov0410,3
ravello,nov0204,2
maregeo,nov0204,1
costantinopoli,nov0204,1
costantinopoli,nov0307,2
costantinopoli,nov0810,1
cefalonia,nov0204,1
brindisi,nov0204,1
trani,nov0204,2
napoli,nov0205,7
napoli,nov0206,3
napoli,nov0306,2
napoli,nov0405,1
napoli,nov0506,2
napoli,nov0702,1
napoli,nov0810,3
napoli,nov1006,1
perugia,nov0205,5
perugia,nov0510,2
sicilia,nov0205,3
sicilia,nov0206,11
sicilia,nov0404,4
sicilia,nov0502,1
sicilia,nov0506,1
sicilia,nov0507,1
sicilia,nov0810,1
sicilia,nov1007,1
sicilia,nov1009,1
malpertugio,nov0205,1
palermo,nov0205,7
palermo,nov0206,1
palermo,nov0404,1
palermo,nov0506,5
palermo,nov0810,4
palermo,nov1007,2
agrigento,nov0205,1
rugacatalana,nov0205,1
benevento,nov0206,1
lipari,nov0206,1
lipari,nov0502,7
ponza,nov0206,2
puglia,nov0206,1
puglia,nov0910,1
puglia,nov1006,1
magra,nov0206,1
lerici,nov0206,1
sardegna,nov0207,1
sardegna,nov0308,1
sardegna,nov0404,2
sardegna,nov0610,1
maiorca,nov0207,4
chiarenza,nov0207,4
romania,nov0207,2
atene,nov0207,5
atene,nov1008,3
atene,epilogue,1
egina,nov0207,1
chios,nov0207,2
smirne,nov0207,4
cappadocia,nov0207,3
rodi,nov0207,2
rodi,nov0403,2
rodi,nov0501,10
baffa,nov0207,6
armenia,nov0207,1
armenia,nov0507,3
famagosta,nov0207,3
egitto,nov0207,1
egitto,nov0610,1
egitto,nov1009,1
aiguesmortes,nov0207,1
sancrescivalcava,nov0207,1
creta,nov0207,1
creta,nov0403,3
creta,nov0501,3
creta,nov1009,1
gerusalemme,nov0207,1
gerusalemme,nov0610,1
gerusalemme,nov0909,2
ssepolcro,nov0207,1
ssepolcro,nov0307,1
calais,nov0208,2
piccardia,nov0208,1
galles,nov0208,2
irlanda,nov0208,2
strangford,nov0208,1
rouen,nov0208,1
albisola,nov0209,1
sangiovannidacri,nov0209,2
sangiovannidacri,nov1009,1
pisa,nov0210,7
pisa,nov0810,1
ravenna,nov0210,1
ravenna,nov0508,6
montenero,nov0210,1
montenero,d06intro,1
monaco,nov0210,3
monaco,nov0810,2
giardinetto-c02,d02conclu,1
palagiobrigata-02,d03intro,2
palagiobrigata-02,d06intro,1
palagiobrigata-02,d07conclu,2
palagiobrigata-02,d09intro,2
palagiobrigata-02,d10intro,1
giardinobrigata-01,d03intro,3
giardinobrigata-01,d03conclu,1
giardinobrigata-01,d04intro,1
giardinobrigata-01,d04conclu,1
giardinobrigata-01,d05intro,2
giardinobrigata-01,d10intro,1
prato-i03,d03intro,2
fontebrigata-01,d03intro,4
fontebrigata-01,d03conclu,1
fontebrigata-01,d04intro,1
fontebrigata-01,d04conclu,1
fontebrigata-01,d07conclu,1
fontebrigata-01,d08intro,1
fontebrigata-01,d08conclu,1
fontebrigata-01,d10intro,1
canaletti-i03,d03intro,1
mulinibrigata-01,d03intro,1
mulinibrigata-01,d04conclu,1
monistero-0301,nov0301,7
lamporecchio,nov0301,1
pavia,nov0302,1
pavia,nov0505,1
pavia,nov1009,23
lombardia,nov0302,1
lombardia,nov0902,1
lombardia,nov1004,1
lombardia,nov1009,4
sanpancrazio,nov0304,2
pistoia,nov0305,2
pistoia,nov0901,4
milano,nov0305,4
milano,nov0703,1
milano,nov0801,2
milano,nov1009,1
ancona,nov0307,2
ancona,nov0904,2
roussillon,nov0309,4
montpellier,nov0309,1
gafsa,nov0310,4
barberia,nov0310,1
barberia,nov0404,1
barberia,nov0502,1
barberia,nov1009,1
tebaide,nov0310,2
monteasinaio,d04intro,1
capova,nov0401,1
venezia,nov0402,3
venezia,nov0610,1
venezia,nov0809,1
