id,name,regularized_name,geographic_area,italian_region,type
abruzzi,Abruzzi,,Italy,Abruzzi,region
acaia,Acaia,,Greece-Balkans,,region
sangiovannidacri,Acri,,Cyprus-Levant,,city
aiguesmortes,Aguamorta,Aigues Mortes,France,,city
alagna,Alagna,,Italy,,city
albisola,Alba,Albisola,Italy,Liguria,city
alessandriaeg,Alessandria / Alessandra,,NorthAfrica,,city
altarisi,Altarisi,,,,city
amalfi,Amalfi,,Italy,Campania,city
ancona,Ancona / Marca d'Ancona,,Italy,Marches,city
antiochia,Antiochia,,Cyprus-Levant,,region
maregeo,Arcipelago,,,,sea
arezzo,Arezzo,,Italy,Tuscany,city
argo,Argo,,Greece-Balkans,,city
arno,Arno,,Italy,Tuscany,river
avignone,Avignone,,France,,city
monteasinaio,Monte Asinaio,,Italy,Tuscany,hill
atene,Atene,,Greece-Balkans,,city
cairo,Babillonia / Babilonia,,NorthAfrica,,city
baffa,Baffa (Pafo),,Cyprus-Levant,,city
baldacca,Baldacca,,,,
barberia,Barberia / Barbaria,,NorthAfrica,,region
barletta,Barletta,,Italy,Apulia,city
terrabaschi,terra de' Baschi,,Iberia,,
bengodi,Bengodi,,,,contrada
berlinzone,Berlinzone,,,,
benevento,Benevento,,Italy,Campania,city
bitonto,Bitonto,,Italy,Apulia,city
bologna,Bologna,,Italy,Emilia-Romagna,city
bonconvento,Bonconvento,,Italy,Tuscany,city
borgogreci,Borgo de' Greci,,Italy,Tuscany,contrada
borgogna,Borgogna,,France,,city
sanpancrazio,San Brancazio,,Italy,Tuscany,convent
contradabrancazio,contrada San Brancazio,,Italy,Tuscany,contrada
brindisi,Brandizio,,Italy,Apulia,city
brescia,Brescia,,Italy,Lombardy,city
bruges,Bruggia,,NorthEurope-EastEurope,,city
buffia,Buffia,,,,
cacavincigli,Cacavincigli,,Italy,Tuscany,street-lane
calatabellotta,Calatabellotta,Caltabellotta,Italy,Sicily,city
Calabria,Calavria,,Italy,Calabria,region
calais,Calese,,France,,city
camaldoli,Camaldoli,,Italy,Tuscany,contrada
camerata,Camerata,,Italy,Tuscany,hamlet
camollia,Camollia,Porta Camollia,Italy,Tuscany,contrada
campi,Campi,CampiBisenzio,Italy,Tuscany,hamlet
camporeggi,Camporeggi,Camporegio,Italy,Tuscany,contrada
candia,Candia,,Greece-Balkans,,city
cantomacina,Canto alla Macina,,Italy,Tuscany,area
cappadocia,Capadocia,,Turkey-AsiaMinor,,region
capitolio,Capitolio,Campidoglio,Italy,Latium,hill
caprezio,Caprezio,,,,
capova,Capova,Capua,Italy,Campania,city
gafsa,Capsa,Gafsa,NorthAfrica,,city
cartagine,Cartagine,,NorthAfrica,,city
castellammarestabia,Castello da mare di Stabia,Castellamare di Stabia,Italy,Campania,city
castellorossiglione,Castello dei Rossiglione,,France,,castle
castelloguardastagno,Castello dei Guardastagno,,France,,castle
catania,Catania,,Italy,Sicily,city
cattaio,Cattaio,,MidEast-FarEast,,region
loggiacavicciuli,Loggia de' Cavicciuli,,Italy,Tuscany,loggia
cefalonia,Cifalonia,,Aegean-islands,,island
certaldo,Certaldo,,Italy,Tuscany,hamlet
cefalu,Cefalú,,Italy,Sicily,city
chiarenza,Chiarenza,,Greece-Balkans,,city
chiassi,Chiassi,,Italy,Emilia-Romagna,area
chiesarossiglione-0409,Chiesa del castello dei Rossiglione,,France,,church
chios,Chios,,Turkey-AsiaMinor,,island
sicilia,Cicilia,Sicilia,Italy,Sicily,country
cipro,Cipri,,Cyprus-Levant,,island
civillari,Civillari,,Italy,Tuscany,contrada
viacocomero,Via del Cocomero / Mercato Vecchio,Via Ricasoli,Italy,Tuscany,street-lane
corniglia,Corniglia,,Italy,Liguria,hamlet
cornovaglia,contea di Cornovaglia,,England-Ireland-Scotland,,county
costantinopoli,Costantinopoli,,Turkey-AsiaMinor,,city
corsignano,Corsignano,Pienza,Italy,Tuscany,city
cremona,Cremona,,Italy,Lombardy,city
sancrescivalcava,san Cresci in Valcava,,Italy,Tuscany,monastery
creta,Creti,,Greece-Balkans,,island
cuba,la Cuba,,Italy,Sicily,castle
egina,Egina,,Greece-Balkans,,island
egitto,Egitto,,NorthAfrica,,country
armenia,Erminia,,Turkey-AsiaMinor,,country
faenza,Faenza,,Italy,Emilia-Romagna,city
famagosta,Famagosta,,Cyprus-Levant,,city
fano,Fano,,Italy,Marches,city
ferrara,Ferrara,,Italy,Emilia-Romagna,city
lefiandre,Fiandra,,NorthEurope-EastEurope,,region
fiesole,Fiesole,,Italy,Tuscany,city
firenze,Firenze,,Italy,Tuscany,city
forlimpopoli,Forlimpopoli,,Italy,Emilia-Romagna,city
francia,Francia,,France,,country
friuli,Frioli,Friuli,Italy,,region
gaeta,Gaeta,,Italy,Campania,city
galles,Gales,,England-Ireland-Scotland,,
reamegarbo,reame del Garbo,,Italy,,countryside
genova,Genova,,Italy,Liguria,city
agrigento,Gergenti,Agrigento,Italy,Sicily,city
granada,Granata,Granada,Iberia,,city
guascogna,Guascogna,,France,,region
castelguiglielmo,Castel Guiglielmo,,Italy,Emilia-Romagna,castle
corfu,Gurfo,,Greece-Balkans,,island
gerusalemme,Ierusalem,,Cyprus-Levant,,city
imola,Imola,,Italy,Emilia-Romagna,city
indiapastinacca,India Pastinaca,,,,
inferno,Inferno / Ninferno,,,,
inghilterra,Inghilterra,,England-Ireland-Scotland,,country
irlanda,Irlanda,,England-Ireland-Scotland,,country
ischia,Ischia,,Italy,Campania,island
italia,Italia,,Italy,,country
laiazzo,Laiazzo,,Cyprus-Levant,,city
lamporecchio,Lamporecchio,,Italy,Tuscany,hamlet
laterino,Laternino,,Italy,Tuscany,city
lerici,Lerici,,Italy,Liguria,castle
legnaia,Legnaia,,Italy,Tuscany,hamlet
lipari,Lipari,,Italy,Sicily,island
lombardia,Lombardia,,Italy,Lombardy,region
londra,Londra,,England-Ireland-Scotland,,city
lucifero,Lucifero,,,,planet
lunigiana,Lunigiana,,Italy,Tuscany,region
magra,Magra,,Italy,Liguria,river
maiorca,Maiolica,,Iberia,,island
macello,Macello,,Italy,Veneto,area
malpertugio,Malpertugio,,Italy,Campania,contrada
maremma,Maremma,,Italy,Tuscany,region
marsiglia,Marsilia,,France,,city
menzogna,Menzogna,,,,
messina,Messina,,Italy,Sicily,city
milano,Melano,Milano,Italy,Lombardy,city
minerva,Minerva,Punta Campanella,Italy,Campania,cape
modena,Modona,Modena,Italy,Emilia-Romagna,city
monaco,Monaco,,France,,country
montenero,Monte Nero,,Italy,Tuscany,
montesone,Montesone,Monitisoni,Italy,Tuscany,hill
montisci,Montisci,,Italy,Tuscany,hill
mmorello,Monte Morello,,Italy,Tuscany,mountain
montughi,Montughi,,Italy,Tuscany,hill
morea,Morea (Peloponneso),,Greece-Balkans,,region
mugello,Mugello,,Italy,Tuscany,countryside
mugnone,Mugnone / Mugnon,,Italy,Tuscany,river
montpellier,Monpulier,Montpellier,France,,city
napoli,Napoli,,Italy,Campania,city
narsia,Narsia,,,,
nazarette,Nazarette,,Cyprus-Levant,,city
norrueca,Norrueca,,,,
nostradama,Nostra Dama,,France,,church
ortosanmichele,Orto San Michele,,Italy,Tuscany,church
palermo,Palermo,,Italy,Sicily,city
parigi,Parigi,,France,,city
parione,Parione,,Italy,Tuscany,street-lane
pasignano,Passignano sul Trasimeno,,Italy,Umbria,city
pavia,Pavia,,Italy,Lombardy,city
peretola,Peretola,,Italy,Tuscany,countryside
iran,Persia,Iran,MidEast-FarEast,,country
perugia,Perugia,,Italy,Umbria,city
piccardia,Piccardia,,France,,region
pisa,Pisa,,Italy,Tuscany,city
pistoia,Pistoia,,Italy,Tuscany,city
ponteoca,Ponte dell'Oca,,,,bridge
porcellana,Porcellana,,Italy,Tuscany,street-lane
ponza,Ponzo,Ponza,Italy,Campania,island
